#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2008-09-05T17:31:23
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx22323	
#INFO	-out.max=50000	
#INFO	CatalogsExamined=5	
#  5 catalogues with potential matches were examined.
#

#RESOURCE=yCat_21230079
#Name: J/ApJS/123/79
#Title: Third EGRET catalog (3EG) (Hartman+, 1999)
#Table	J_ApJS_123_79_3eg:
#Name: J/ApJS/123/79/3eg
#Title: Third EGRET Source Catalog (table 4)
#Column	_RAJ2000	(A7)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A6)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	3EG	(a10)	3EG name (Jhhmm+ddmm)	[ucd=meta.id;meta.main]
#Column	theta95	(F6.3)	Radius of the circle containing the same solid angle as the 95% confidence contour	[ucd=pos.posAng]
#Column	ID	(A1)	[PGSAa] Identification code (1)	[ucd=src.class]
#Column	Note	(a6)	[@EemC, ] Notes (2)	[ucd=meta.note]
#Column	r_ID	(a10)	References detailed in file "\begin{tex}\vFile{J/ApJS/123/79/./refs.dat}{refs.dat}\end{tex}"	[ucd=meta.bib]
#_RAJ2000	_DEJ2000	3EG	theta95	ID	Note	r_ID
#"h:m:s"	"d:m:s"		deg			
#-------	------	----------	------	-	------	----------
* V 7
00 10.2	+73 10	J0010+7309	 0.240	 	@,em  	1,2
05 12.6	-61 50	J0512-6150	 0.590	a	C     	14
05 16.4	+23 21	J0516+2320	 0.350	S	      	
05 20.6	+25 45	J0520+2556	 0.860	 	em,C  	1
05 21.5	+21 48	J0521+2147	 0.450	 	C     	1
05 31.0	+13 23	J0530+1323	 0.210	A	      	1,3,4
05 30.2	-36 26	J0530-3626	 0.750	a	@,em,C	1
05 31.6	-29 41	J0531-2940	 1.070	a	C     	
05 33.3	+47 51	J0533+4751	 0.600	 	em    	
05 33.7	-69 16	J0533-6916	 0.530	G	E     	1
05 34.3	+22 01	J0534+2200	 0.048	P	      	1
05 40.1	-44 03	J0540-4402	 0.300	A	C     	1,3,4
05 42.8	+26 10	J0542+2610	 0.700	 	@,em,C	14,15
05 42.3	-06 56	J0542-0655	 1.180	a	em,C  	
05 46.2	+39 49	J0546+3948	 0.670	 	em    	1
05 56.2	+04 09	J0556+0409	 0.470	 	      	10
06 14.0	+42 01	J0613+4201	 0.570	 	C     	16
06 16.6	-07 21	J0616-0720	 0.910	 	em,C  	1
06 16.6	-33 10	J0616-3310	 0.630	 	      	
06 17.2	+22 38	J0617+2238	 0.130	 	@,C   	1,15,17
06 22.3	-11 40	J0622-1139	 0.860	A	C     	
06 28.7	+18 47	J0628+1847	 0.570	 	@,C   	
06 31.7	+06 43	J0631+0642	 0.460	 	@,C   	16
06 34.0	+17 52	J0633+1751	 0.032	P	      	1
06 34.0	+05 22	J0634+0521	 0.670	 	em,C  	1
07 02.3	-62 13	J0702-6212	 1.040	 	em    	
07 06.9	-38 38	J0706-3837	 0.900	 	em,C  	
07 21.7	+71 21	J0721+7120	 0.300	A	      	1,3,4
07 24.4	-47 14	J0724-4713	 0.950	 	em,C  	1
07 25.5	-51 41	J0725-5140	 0.910	 	C     	1
07 37.9	+17 21	J0737+1721	 0.700	A	      	1
07 43.3	+54 48	J0743+5447	 0.530	A	      	1,12,18,19
07 47.5	-34 13	J0747-3412	 0.700	 	em,C  	
08 08.7	+48 45	J0808+4844	 0.720	a	@,C   	1,3,11
08 08.6	+51 14	J0808+5114	 0.600	a	@,em,C	1,19
08 08.4	-53 45	J0808-5344	 0.810	 	em,C  	14
08 12.6	-06 47	J0812-0646	 0.720	a	      	1
08 21.3	-58 14	J0821-5814	 1.260	 	em,C  	
08 24.7	-46 11	J0824-4610	 0.610	 	@,em,C	14,15
08 27.9	-42 47	J0827-4247	 0.770	 	@,em,C	
08 28.2	+05 08	J0828+0508	 0.970	A	      	1,3,4
08 29.0	-49 55	J0828-4954	 0.530	 	@,em,C	
08 30.0	+24 13	J0829+2413	 0.620	A	      	1,3,4
08 34.9	-45 12	J0834-4511	 0.021	P	@     	1
08 42.0	-43 57	J0841-4356	 0.520	 	@,C   	
08 45.8	+70 50	J0845+7049	 0.720	A	em,C  	1,3,4
08 49.0	-44 30	J0848-4429	 0.620	 	@,C   	10
08 52.6	-12 16	J0852-1216	 0.970	A	em,C  	1,11,12,20
08 53.7	+19 41	J0853+1941	 0.910	A	C     	
08 59.7	-42 57	J0859-4257	 0.640	 	@,C   	
09 03.2	-35 32	J0903-3531	 0.580	 	C     	14
09 10.6	+65 56	J0910+6556	 0.860	 	C     	10
09 17.3	+44 27	J0917+4427	 0.560	a	      	1,4
09 52.0	+55 01	J0952+5501	 0.770	A	em    	1,4
09 58.5	+65 34	J0958+6533	 0.340	A	      	1,3,4
10 09.2	+48 56	J1009+4855	 0.750	a	em,C  	
10 13.4	-59 15	J1013-5915	 0.720	 	C,em  	1
10 14.2	-57 06	J1014-5705	 0.670	 	C,em  	1
10 27.6	-58 16	J1027-5817	 0.370	 	C,em  	1
10 45.4	-76 31	J1045-7630	 0.960	 	em,C  	10
10 48.6	-58 41	J1048-5840	 0.170	 	C     	1
10 52.8	+57 19	J1052+5718	 0.630	a	em    	1,20
10 58.7	-52 34	J1058-5234	 0.250	P	C     	1
11 02.4	-61 03	J1102-6103	 0.610	 	@,C   	1,15
11 04.4	+38 09	J1104+3809	 0.210	A	      	1,3,4
11 33.4	+00 33	J1133+0033	 1.020	 	      	10
11 34.6	-15 30	J1134-1530	 0.590	a	      	1
12 00.5	+28 48	J1200+2847	 0.640	A	C     	1,3,4
12 12.6	+23 05	J1212+2304	 0.880	 	C     	
12 19.3	-15 20	J1219-1520	 0.800	 	em,C  	10
12 22.4	+23 16	J1222+2315	 0.820	 	em,C  	
12 23.0	+28 42	J1222+2841	 0.290	A	@,C   	3,4,10
12 24.4	+21 19	J1224+2118	 0.290	A	C     	1,3,4
12 27.0	+43 02	J1227+4302	 0.990	 	C     	
12 29.0	+02 10	J1229+0210	 0.320	A	C     	1,3,4
12 30.6	-02 47	J1230-0247	 0.830	A	em,C  	1,3,4
12 34.0	-13 19	J1234-1318	 0.760	 	C     	1
12 35.2	+02 34	J1235+0233	 0.680	 	em,C  	
12 35.6	+04 58	J1236+0457	 1.000	a	C     	1,11,19
12 47.0	-06 52	J1246-0651	 0.800	A	em,C  	
12 49.0	-83 30	J1249-8330	 0.660	 	C     	1
12 55.9	-05 49	J1255-0549	 0.080	A	C     	1,3,4
13 00.2	-44 06	J1300-4406	 0.840	 	C     	
13 08.4	+87 44	J1308+8744	 0.880	 	em,C  	1
13 08.7	-61 13	J1308-6112	 0.710	 	em,C  	14
13 10.4	-05 18	J1310-0517	 0.780	 	C     	
13 14.0	-34 31	J1314-3431	 0.560	a	em    	1,3
13 17.0	-52 45	J1316-5244	 0.500	 	em    	
13 23.2	+22 01	J1323+2200	 0.470	a	      	10,11
13 24.6	-43 15	J1324-4314	 0.530	A	@,C   	a
13 29.6	+17 08	J1329+1708	 0.730	A	em,C  	1,4
13 29.6	-46 02	J1329-4602	 0.920	 	C     	
13 37.5	+50 29	J1337+5029	 0.720	 	C     	
13 39.4	-14 19	J1339-1419	 1.140	A	em    	
13 47.2	+29 32	J1347+2932	 0.950	 	C     	1
14 09.7	-07 45	J1409-0745	 0.290	A	      	1,3,4
14 10.9	-61 44	J1410-6147	 0.360	 	@,C   	1,15
14 20.4	-60 38	J1420-6038	 0.320	 	C     	10
14 24.9	+37 35	J1424+3734	 0.880	 	      	
14 29.6	-42 18	J1429-4217	 0.750	A	C     	4,10
14 47.8	-39 37	J1447-3936	 0.870	 	em,C  	
14 57.7	-19 04	J1457-1903	 0.760	 	C     	1
15 01.7	-35 15	J1500-3509	 1.150	 	em,C  	
15 04.8	-15 38	J1504-1537	 0.700	a	C     	10
15 12.7	-08 50	J1512-0849	 0.890	A	C     	1,3,4
15 17.4	-25 39	J1517-2538	 0.920	a	C     	
15 27.6	-23 58	J1527-2358	 1.210	 	em,C  	1
16 00.9	-03 52	J1600-0351	 0.860	 	C     	
16 05.2	+15 53	J1605+1553	 0.770	A	C     	1,3,4
16 07.6	-11 01	J1607-1101	 1.270	 	em,C  	
16 08.5	+10 56	J1608+1055	 0.630	A	      	1,3,4
16 12.7	-26 19	J1612-2618	 1.330	 	em,C  	
16 14.2	+34 24	J1614+3424	 0.290	A	C     	1,3,4
16 16.1	-22 22	J1616-2221	 0.530	 	em,C  	
16 21.3	+82 04	J1621+8203	 0.850	 	em,C  	
16 25.4	-29 55	J1625-2955	 0.200	A	      	4,21
16 26.0	-25 19	J1626-2519	 0.310	A	C     	1,3,4
16 27.9	-24 20	J1627-2419	 0.650	 	@,em,C	
16 31.1	-10 18	J1631-1018	 0.720	 	em,C  	
16 31.4	-40 34	J1631-4033	 0.890	 	em,C  	
16 33.7	-32 17	J1633-3216	 0.870	 	em,C  	
16 34.1	-14 34	J1634-1434	 0.490	 	em,C  	1
16 35.7	+38 13	J1635+3813	 0.210	A	      	1,3,4
16 35.2	-17 52	J1635-1751	 1.100	 	em,C  	
16 38.7	-27 50	J1638-2749	 0.620	 	em,C  	10
16 38.6	-51 55	J1638-5155	 0.680	 	@,C   	1
16 39.1	-47 02	J1639-4702	 0.560	 	em,C  	
16 46.5	-07 05	J1646-0704	 0.530	 	em,C  	
16 49.7	-16 12	J1649-1611	 0.650	 	em,C  	
16 52.1	-02 24	J1652-0223	 0.730	 	em,C  	
16 53.8	-21 34	J1653-2133	 1.100	 	em,C  	
16 55.8	-45 54	J1655-4554	 0.660	 	em,C  	10
16 59.9	-62 52	J1659-6251	 0.730	 	em,C  	10
17 04.5	-47 32	J1704-4732	 0.660	 	C     	
17 09.0	-08 28	J1709-0828	 1.010	 	em,C  	10
17 10.2	-44 40	J1710-4439	 0.090	P	      	1
17 14.1	-38 58	J1714-3857	 0.510	 	em,C  	
17 17.2	-27 38	J1717-2737	 0.640	 	C     	
17 18.2	-33 13	J1718-3313	 0.540	 	em,C  	1
17 19.2	-04 31	J1719-0430	 0.440	 	C     	22
17 20.9	-78 20	J1720-7820	 0.750	a	em,C  	
17 26.4	-08 07	J1726-0807	 0.760	 	em,C  	
17 27.9	+04 30	J1727+0429	 0.780	A	em    	
17 33.2	+60 17	J1733+6017	 0.910	 	em,C  	1
17 33.8	-13 14	J1733-1313	 0.280	A	      	1,4
17 34.2	-32 33	J1734-3232	 0.490	 	C     	16
17 35.9	-15 00	J1735-1500	 0.770	 	C     	
17 36.6	-29 08	J1736-2908	 0.620	 	C     	10
17 38.6	+52 03	J1738+5203	 0.820	A	em    	1,3,4
17 41.6	-20 50	J1741-2050	 0.630	 	C     	
17 41.7	-23 13	J1741-2312	 0.570	 	C     	1
17 44.1	-03 11	J1744-0310	 0.490	A	em,C  	3
17 44.9	-30 11	J1744-3011	 0.320	 	C     	1
17 44.8	-39 34	J1744-3934	 0.660	 	em,C  	
17 46.0	-10 02	J1746-1001	 0.760	 	em,C  	1
17 46.0	-28 52	J1746-2851	 0.130	 	em,C  	1
17 57.9	-07 12	J1757-0711	 0.680	 	em,C  	
18 00.9	-01 47	J1800-0146	 0.770	 	em,C  	
18 00.5	-23 39	J1800-2338	 0.320	 	@,C   	1,15,17
18 00.9	-39 56	J1800-3955	 1.010	A	em,C  	10,11
18 06.2	-50 06	J1806-5005	 0.890	a	C     	
18 10.0	-23 28	J1809-2328	 0.160	 	C     	1
18 10.1	-10 32	J1810-1032	 0.390	 	em,C  	
18 12.6	-13 16	J1812-1316	 0.390	 	C     	1
18 13.4	-64 20	J1813-6419	 0.680	 	C     	
18 22.3	+16 42	J1822+1641	 0.770	 	em    	
18 23.1	-13 14	J1823-1314	 0.290	 	@,C   	1,15
18 24.8	+34 41	J1824+3441	 0.820	 	em,C  	
18 24.8	-15 14	J1824-1514	 0.520	 	C     	
18 25.2	+28 55	J1825+2854	 0.970	 	em,C  	
18 25.0	-79 26	J1825-7926	 0.780	 	C     	1
18 26.2	-13 02	J1826-1302	 0.460	 	C     	1
18 29.0	+01 43	J1828+0142	 0.550	 	em,C  	1
18 32.4	-21 11	J1832-2110	 0.510	A	C     	1,11
18 34.4	-28 04	J1834-2803	 0.520	 	em,C  	10
18 35.5	+59 19	J1835+5918	 0.150	 	      	1
18 38.1	-49 34	J1836-4933	 0.660	 	C     	
18 37.6	-04 24	J1837-0423	 0.520	 	C     	23
18 37.0	-06 06	J1837-0606	 0.190	 	em,C  	14
18 47.6	-32 19	J1847-3219	 0.800	 	em,C  	1
18 50.2	+59 03	J1850+5903	 0.910	 	em,C  	
18 50.7	-26 53	J1850-2652	 1.000	 	em,C  	1
18 56.4	+01 14	J1856+0114	 0.190	 	@,em,C	1,15,17
18 58.4	-21 37	J1858-2137	 0.360	 	em,C  	
19 03.6	+05 50	J1903+0550	 0.640	 	@,em,C	10,15
19 04.8	-11 25	J1904-1124	 0.500	 	      	10
19 11.7	-20 00	J1911-2000	 0.540	A	C     	1,4
19 22.0	-20 16	J1921-2015	 0.650	a	C     	
19 28.4	+17 34	J1928+1733	 0.750	 	em    	
19 35.9	-40 23	J1935-4022	 0.290	A	em,C  	1,3,4
19 37.9	-15 29	J1937-1529	 0.910	A	em,C  	
19 40.9	-01 22	J1940-0121	 0.790	 	      	
19 49.2	-34 56	J1949-3456	 0.610	 	em    	1
19 55.8	-14 15	J1955-1414	 0.840	 	em,C  	10
19 58.8	+29 10	J1958+2909	 0.570	 	em    	16
19 58.0	-44 43	J1958-4443	 1.230	 	em,C  	
19 59.1	+63 43	J1959+6342	 0.760	 	em    	
20 06.2	-23 21	J2006-2321	 0.670	 	em    	1
20 16.2	+36 56	J2016+3657	 0.550	 	C     	1
20 21.0	+40 18	J2020+4017	 0.160	 	@,C   	1,15,17,24
20 20.4	-15 45	J2020-1545	 0.900	 	em,C  	
20 21.2	+37 16	J2021+3716	 0.300	 	C     	1
20 22.1	+43 17	J2022+4317	 0.720	 	em,C  	
20 25.4	-07 45	J2025-0744	 0.440	A	em    	1,3,4
20 27.8	+34 30	J2027+3429	 0.770	 	em,C  	1
20 33.6	+41 19	J2033+4118	 0.280	 	C     	1
20 34.9	-31 11	J2034-3110	 0.730	 	em    	
20 35.4	+44 41	J2035+4441	 0.540	 	@,em,C	
20 36.7	+11 32	J2036+1132	 0.620	A	em,C  	1,4
20 46.3	+09 34	J2046+0933	 0.600	 	em,C  	
20 55.2	-47 17	J2055-4716	 0.760	A	      	1,3,4
21 00.7	+60 13	J2100+6012	 0.480	a	em    	
21 58.7	-30 24	J2158-3023	 0.680	A	      	4,25
22 02.4	+42 17	J2202+4217	 1.050	A	em    	4,26,27
22 06.4	+66 03	J2206+6602	 0.880	a	em,C  	
22 09.6	+24 02	J2209+2401	 0.860	A	      	1,3,4
22 20.0	-79 41	J2219-7941	 0.630	 	em    	
22 27.2	+61 22	J2227+6122	 0.460	 	C     	1
22 32.4	+11 48	J2232+1147	 0.500	A	C     	1,3,4
22 41.0	-67 36	J2241-6736	 0.840	 	em    	
22 43.1	+15 10	J2243+1509	 1.040	 	C     	1
22 49.0	+17 46	J2248+1745	 0.940	 	C     	
22 51.2	-13 41	J2251-1341	 0.770	 	em    	
22 54.0	+16 01	J2254+1601	 0.280	A	C     	1,3,4
22 56.0	+19 44	J2255+1943	 0.870	a	em,C  	
22 56.0	-50 13	J2255-5012	 0.700	 	em    	
23 14.8	+44 26	J2314+4426	 0.780	 	em    	
23 21.6	-03 29	J2321-0328	 1.240	A	      	10,11,20
23 52.4	+37 53	J2352+3752	 0.940	a	em,C  	10,20
23 58.3	+46 04	J2358+4604	 0.680	A	em,C  	
24 00.0	+20 42	J2359+2041	 1.040	A	C     	1,3,4
