#
#   VizieR Astronomical Server: vizier.nao.ac.jp    	2008-09-08T15:17:26
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx29447	
#INFO	-out.max=50000	

#RESOURCE=yCat_9010
#Name: IX/10A
#Title: ROSAT All-Sky Bright Source Catalogue (1RXS) (Voges+ 1999)
#Table	IX_10A_1rxs:
#Name: IX/10A/1rxs
#Title: The 1RXS catalogue
#Column	_RAJ2000	(A11)	Right ascension (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(A11)	Declination (FK5) Equinox=J2000. (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	1RXS	(a16)	ROSAT All-Sky Survey Catalogue source name (1)	[ucd=meta.id;meta.main]
#Column	PosErr	(I2)	? Total positional error (including 6" systematic error)	[ucd=stat.error]
#_RAJ2000	_DEJ2000	1RXS	PosErr
#"h:m:s"	"d:m:s"		arcsec
#-----------	-----------	----------------	--
* V 8
00 05 47.70	+02 03 06.0	J000547.7+020306	10
00 05 49.40	+54 33 19.5	J000549.4+543319	 9
00 05 50.00	+10 22 49.0	J000550.0+102249	 9
00 05 52.50	-41 45 21.0	J000552.5-414521	12
00 05 56.10	-20 38 50.0	J000556.1-203850	18
00 05 58.20	-27 58 54.5	J000558.2-275854	11
00 05 59.10	+16 09 55.0	J000559.1+160955	 8
00 06 04.70	-34 43 49.5	J000604.7-344349	28
00 06 05.00	+63 40 39.0	J000605.0+634039	11
00 06 08.20	+09 42 54.5	J000608.2+094254	10
00 06 13.50	-06 23 47.0	J000613.5-062347	25
00 06 15.10	+58 26 10.5	J000615.1+582610	 7
00 06 15.10	-29 12 23.5	J000615.1-291223	10
00 06 18.90	+20 12 15.5	J000618.9+201215	 7
00 06 20.30	+10 52 07.5	J000620.3+105207	27
00 06 26.90	-40 51 36.0	J000626.9-405136	16
00 06 30.60	-67 38 09.5	J000630.6-673809	13
00 06 36.80	+29 01 12.5	J000636.8+290112	 8
00 06 37.10	+43 42 23.0	J000637.1+434223	 8
00 06 37.50	+55 27 17.0	J000637.5+552717	10
00 06 47.20	-33 23 16.0	J000647.2-332316	14
00 06 54.10	-07 07 21.0	J000654.1-070721	19
00 07 09.80	+00 53 28.5	J000709.8+005328	11
00 07 14.20	-10 36 34.0	J000714.2-103634	12
00 07 20.50	+42 16 31.5	J000720.5+421631	13
00 07 24.10	-42 33 31.5	J000724.1-423331	10
00 07 29.30	+02 40 59.0	J000729.3+024059	22
00 07 30.50	-45 02 13.0	J000730.5-450213	12
00 07 32.40	+33 17 30.5	J000732.4+331730	 7
00 07 40.80	-63 51 52.5	J000740.8-635152	11
00 07 42.40	+60 22 51.0	J000742.4+602251	 9
00 07 44.00	-69 59 56.0	J000744.0-695956	11
00 07 51.80	+55 34 46.0	J000751.8+553446	11
00 07 58.50	-11 51 45.0	J000758.5-115145	16
00 07 58.70	-14 13 41.0	J000758.7-141341	12
00 08 01.60	+32 22 14.0	J000801.6+322214	 9
00 08 02.40	+53 47 55.0	J000802.4+534755	20
00 08 03.20	-03 09 42.0	J000803.2-030942	10
00 08 05.60	+14 50 27.0	J000805.6+145027	 8
00 08 06.30	+47 56 59.0	J000806.3+475659	 8
00 08 13.30	-00 57 52.0	J000813.3-005752	12
00 08 18.40	+51 23 19.0	J000818.4+512319	 7
00 08 26.80	+06 37 12.0	J000826.8+063712	11
00 08 27.20	-40 51 37.5	J000827.2-405137	22
00 08 30.50	-15 58 25.5	J000830.5-155825	 9
00 08 35.40	-23 39 17.0	J000835.4-233917	10
00 08 46.60	-46 49 20.0	J000846.6-464920	12
00 08 49.30	+45 53 16.0	J000849.3+455316	 9
00 08 54.30	+20 50 31.0	J000854.3+205031	13
00 08 55.40	-64 23 15.5	J000855.4-642315	19
00 08 56.10	+41 10 34.5	J000856.1+411034	17
00 08 58.40	-23 53 05.5	J000858.4-235305	27
00 09 00.20	-01 44 42.0	J000900.2-014442	12
00 09 04.70	-10 34 32.5	J000904.7-103432	13
00 09 09.60	-23 11 37.0	J000909.6-231137	14
00 09 10.10	+59 09 03.5	J000910.1+590903	 9
00 09 15.00	+24 37 58.0	J000915.0+243758	20
00 09 21.20	+00 38 09.5	J000921.2+003809	10
00 09 34.50	+18 03 44.0	J000934.5+180344	11
00 09 38.00	-34 43 25.5	J000938.0-344325	10
00 09 44.80	-42 01 18.0	J000944.8-420118	26
00 09 50.70	-43 16 53.5	J000950.7-431653	11
00 09 51.40	+08 27 17.5	J000951.4+082717	 9
00 09 52.80	-35 16 47.0	J000952.8-351647	36
00 09 53.00	+37 19 06.0	J000953.0+371906	13
00 09 56.60	+13 41 10.5	J000956.6+134110	10
00 10 00.60	+49 06 55.0	J001000.6+490655	14
00 10 02.80	+11 08 45.0	J001002.8+110845	 9
00 10 04.60	-11 52 54.5	J001004.6-115254	15
00 10 09.30	-59 21 20.0	J001009.3-592120	10
00 10 10.20	-04 42 25.0	J001010.2-044225	11
00 10 11.50	+64 38 37.5	J001011.5+643837	16
00 10 16.50	-15 32 15.0	J001016.5-153215	20
00 10 20.50	-06 17 03.0	J001020.5-061703	15
00 10 28.00	-76 03 20.5	J001028.0-760320	11
00 10 31.30	+10 58 32.5	J001031.3+105832	 8
00 10 41.50	-31 41 28.0	J001041.5-314128	10
00 10 42.00	-20 39 16.5	J001042.0-203916	14
00 10 49.70	-08 17 17.5	J001049.7-081717	11
00 10 51.30	-34 13 29.5	J001051.3-341329	20
00 10 52.20	+29 09 35.0	J001052.2+290935	21
00 11 18.50	-28 51 26.5	J001118.5-285126	16
00 11 20.35	-32 42 19.4	J001120.3-324219	
00 11 21.20	+37 39 19.5	J001121.2+373919	11
00 11 21.70	+30 26 58.0	J001121.7+302658	16
00 11 22.00	-21 14 32.5	J001122.0-211432	 9
00 11 24.60	-11 28 43.0	J001124.6-112843	 8
00 11 31.10	-44 41 29.5	J001131.1-444129	11
00 11 43.00	-15 23 12.0	J001143.0-152312	11
00 11 44.50	+32 24 41.5	J001144.5+322441	16
00 11 45.30	+52 31 47.5	J001145.3+523147	15
00 11 51.90	+32 28 03.0	J001151.9+322803	27
00 11 52.70	-32 38 08.0	J001152.7-323808	13
00 11 52.80	+22 59 14.0	J001152.8+225914	 8
00 12 01.70	+29 03 24.5	J001201.7+290324	11
00 12 08.20	-15 50 31.5	J001208.2-155031	 7
00 12 13.20	+09 29 19.0	J001213.2+092919	37
00 12 16.30	-05 43 35.5	J001216.3-054335	20
00 12 19.00	+10 06 02.0	J001219.0+100602	15
00 12 29.40	+14 33 58.5	J001229.4+143358	 7
00 12 34.80	-04 16 33.0	J001234.8-041633	12
00 12 34.80	-16 28 09.5	J001234.8-162809	10
00 12 38.10	+02 12 43.5	J001238.1+021243	19
00 12 48.70	-08 47 05.0	J001248.7-084705	10
00 12 51.70	-18 50 12.5	J001251.7-185012	18
00 12 58.10	-79 52 14.0	J001258.1-795214	12
00 13 02.40	-32 38 39.0	J001302.4-323839	11
00 13 08.90	-00 25 48.5	J001308.9-002548	10
00 13 09.60	+05 35 50.0	J001309.6+053550	 7
00 13 19.00	-05 22 35.5	J001319.0-052235	16
00 13 22.70	-17 00 53.5	J001322.7-170053	12
00 13 27.20	-31 23 37.0	J001327.2-312337	15
00 13 28.40	+09 49 42.0	J001328.4+094942	 8
00 13 32.50	+40 51 32.0	J001332.5+405132	11
00 13 34.10	-34 43 18.0	J001334.1-344318	23
00 13 37.10	-19 30 02.0	J001337.1-193002	20
00 13 37.60	+77 02 10.5	J001337.6+770210	 8
00 13 42.60	+08 11 32.5	J001342.6+081132	23
00 13 54.60	-74 41 22.5	J001354.6-744122	 7
00 13 56.60	-18 54 08.0	J001356.6-185408	 7
00 13 57.00	-46 22 53.0	J001357.0-462253	18
00 13 57.70	+35 02 33.5	J001357.7+350233	11
00 13 58.90	-23 38 22.5	J001358.9-233822	22
00 13 59.10	-22 23 40.0	J001359.1-222340	13
00 14 09.30	+08 58 22.5	J001409.3+085822	18
00 14 09.90	+30 49 28.5	J001409.9+304928	10
00 14 10.10	-07 12 00.0	J001410.1-071200	 8
00 14 11.80	-50 22 43.5	J001411.8-502243	10
00 14 18.80	-66 04 26.5	J001418.8-660426	14
00 14 19.10	-30 22 16.0	J001419.1-302216	22
00 14 20.20	+26 16 30.5	J001420.2+261630	13
00 14 20.50	+08 54 11.5	J001420.5+085411	12
00 14 21.50	-24 44 55.0	J001421.5-244455	24
00 14 28.50	+13 31 09.0	J001428.5+133109	10
00 14 40.80	+06 22 31.0	J001440.8+062231	15
00 14 42.20	+58 02 01.5	J001442.2+580201	 9
00 14 49.40	-20 24 23.5	J001449.4-202423	18
00 14 52.70	+27 05 49.0	J001452.7+270549	11
00 14 53.60	-60 03 59.5	J001453.6-600359	22
00 14 54.60	-15 52 15.0	J001454.6-155215	13
00 15 00.20	+33 15 15.0	J001500.2+331515	17
00 15 00.20	-40 36 17.0	J001500.2-403617	19
00 15 03.50	-72 50 27.0	J001503.5-725027	 7
00 15 12.10	-14 12 20.0	J001512.1-141220	20
00 15 21.90	-15 10 07.5	J001521.9-151007	 9
00 15 24.00	-15 13 46.5	J001524.0-151346	11
00 15 28.30	+35 36 41.5	J001528.3+353641	 9
00 15 28.80	-64 15 01.0	J001528.8-641501	15
00 15 29.60	-39 13 00.0	J001529.6-391300	14
00 15 30.20	+17 20 09.0	J001530.2+172009	13
00 15 31.70	+46 18 24.0	J001531.7+461824	14
00 15 35.90	+48 01 17.0	J001535.9+480117	10
00 15 39.80	-52 16 02.0	J001539.8-521602	10
00 15 41.30	+55 51 41.5	J001541.3+555141	 9
00 15 52.50	-25 09 47.0	J001552.5-250947	14
00 15 54.70	-17 28 43.0	J001554.7-172843	 9
00 15 56.50	+05 37 24.0	J001556.5+053724	12
00 15 57.50	-16 36 59.0	J001557.5-163659	14
00 16 10.80	-14 35 28.5	J001610.8-143528	11
00 16 12.70	-79 51 00.5	J001612.7-795100	10
00 16 14.00	+19 51 42.0	J001614.0+195142	 8
00 16 18.00	-44 46 46.5	J001618.0-444646	16
00 16 20.40	-14 30 08.5	J001620.4-143008	10
00 16 27.20	-06 25 55.5	J001627.2-062555	13
00 16 30.70	+05 46 26.5	J001630.7+054626	11
00 16 33.20	-05 42 27.5	J001633.2-054227	11
00 16 42.50	-31 26 58.5	J001642.5-312658	14
00 16 45.50	+06 47 04.0	J001645.5+064704	20
00 16 50.60	-07 10 13.0	J001650.6-071013	 9
00 16 59.70	+11 37 25.0	J001659.7+113725	11
00 17 04.20	-04 47 31.0	J001704.2-044731	12
00 17 05.70	+40 56 44.5	J001705.7+405644	11
00 17 10.20	+81 35 07.5	J001710.2+813507	10
00 17 11.10	+29 31 59.5	J001711.1+293159	10
00 17 13.60	+02 37 02.0	J001713.6+023702	18
00 17 14.70	-30 01 31.5	J001714.7-300131	24
00 17 16.30	-70 32 06.5	J001716.3-703206	10
00 17 23.40	-66 45 07.0	J001723.4-664507	 9
00 17 26.80	-71 50 30.0	J001726.8-715030	10
00 17 28.20	+79 47 47.0	J001728.2+794747	 8
00 17 36.10	-05 12 54.0	J001736.1-051254	12
00 17 38.80	-35 12 30.5	J001738.8-351230	17
00 17 39.00	+01 40 43.5	J001739.0+014043	11
00 17 39.10	+12 02 42.0	J001739.1+120242	13
00 17 45.30	-01 02 55.0	J001745.3-010255	12
00 17 45.80	+01 36 14.0	J001745.8+013614	 9
00 17 45.80	-45 26 02.5	J001745.8-452602	11
00 17 48.00	-67 08 49.5	J001748.0-670849	11
00 18 07.60	-20 13 35.5	J001807.6-201335	14
00 18 07.70	+10 54 53.0	J001807.7+105453	12
00 18 21.20	+30 57 23.0	J001821.2+305723	 6
00 18 21.40	-33 44 21.5	J001821.4-334421	20
00 18 21.70	+01 18 59.0	J001821.7+011859	 9
00 18 21.70	-21 12 00.0	J001821.7-211200	10
00 18 21.80	+44 01 29.5	J001821.8+440129	 9
00 18 23.80	+30 03 57.5	J001823.8+300357	27
00 18 25.50	+23 24 32.5	J001825.5+232432	10
00 18 26.20	-63 28 37.5	J001826.2-632837	 9
00 18 27.80	+29 47 30.0	J001827.8+294730	 7
00 18 32.00	+16 26 34.5	J001832.0+162634	18
00 18 33.90	-06 28 40.0	J001833.9-062840	18
00 18 38.60	+04 51 07.0	J001838.6+045107	12
00 18 57.20	-07 43 46.0	J001857.2-074346	18
00 18 59.70	-40 51 28.5	J001859.7-405128	15
00 18 59.80	+06 19 37.5	J001859.8+061937	14
00 19 06.00	-20 26 38.0	J001906.0-202638	27
00 19 15.40	+07 48 16.5	J001915.4+074816	11
00 19 19.70	+59 08 23.0	J001919.7+590823	 8
00 19 28.10	-81 52 47.5	J001928.1-815247	10
00 19 34.60	-40 25 23.0	J001934.6-402523	13
00 19 36.20	-07 13 25.5	J001936.2-071325	 9
00 19 37.00	+26 03 16.5	J001937.0+260316	33
00 19 38.00	+03 36 46.0	J001938.0+033646	39
00 19 42.40	+19 51 26.0	J001942.4+195126	15
00 19 50.00	+21 56 51.5	J001950.0+215651	 7
00 19 52.10	-27 44 31.5	J001952.1-274431	13
00 19 55.20	-06 38 16.5	J001955.2-063816	22
00 20 01.10	+27 59 49.0	J002001.1+275949	10
00 20 07.20	+32 44 23.5	J002007.2+324423	12
00 20 10.80	+01 33 02.5	J002010.8+013302	 8
00 20 12.00	-34 16 30.5	J002012.0-341630	14
00 20 13.60	+34 54 54.5	J002013.6+345454	11
00 20 20.70	+10 34 51.0	J002020.7+103451	13
00 20 31.30	+40 13 23.0	J002031.3+401323	14
00 20 32.20	+02 28 59.0	J002032.2+022859	14
00 20 39.50	+28 40 27.5	J002039.5+284027	23
00 20 40.50	-69 37 36.5	J002040.5-693736	11
00 20 41.80	-25 43 07.0	J002041.8-254307	20
00 20 47.20	+57 11 51.0	J002047.2+571151	 9
00 20 48.50	-25 38 23.5	J002048.5-253823	16
00 20 52.40	+55 42 13.0	J002052.4+554213	 8
00 21 00.90	-24 50 47.0	J002100.9-245047	13
00 21 08.10	-19 09 50.0	J002108.1-190950	15
00 21 08.60	+37 58 01.0	J002108.6+375801	11
00 21 09.10	+44 56 55.5	J002109.1+445655	 9
00 21 16.40	+50 53 15.5	J002116.4+505315	12
00 21 20.70	-20 50 27.5	J002120.7-205027	12
00 21 23.20	+33 42 36.0	J002123.2+334236	12
00 21 27.80	-11 00 58.5	J002127.8-110058	17
00 21 30.10	-28 58 53.5	J002130.1-285853	11
00 21 33.00	-34 10 12.0	J002133.0-341012	 8
00 21 36.80	+28 03 05.5	J002136.8+280305	23
00 21 37.30	-46 05 26.5	J002137.3-460526	 8
00 21 47.40	+00 00 36.5	J002147.4+000036	 8
00 21 50.50	+64 48 50.5	J002150.5+644850	14
00 21 53.70	-40 25 31.0	J002153.7-402531	12
00 21 58.00	+49 12 45.5	J002158.0+491245	 9
00 21 59.20	-51 40 28.5	J002159.2-514028	19
00 22 00.90	+00 06 59.0	J002200.9+000659	14
00 22 02.00	-39 30 34.5	J002202.0-393034	17
00 22 03.70	-10 16 28.0	J002203.7-101628	11
00 22 09.20	-18 53 33.0	J002209.2-185333	10
00 22 11.80	+41 00 51.5	J002211.8+410051	13
00 22 11.90	-13 49 11.0	J002211.9-134911	12
00 22 16.80	-09 43 39.5	J002216.8-094339	12
00 22 33.80	-34 07 22.5	J002233.8-340722	 8
00 22 46.10	-38 06 35.0	J002246.1-380635	16
00 22 46.70	-09 13 32.5	J002246.7-091332	14
00 22 48.30	-32 08 12.0	J002248.3-320812	13
00 22 49.70	+80 44 09.0	J002249.7+804409	14
00 22 52.20	-12 12 33.0	J002252.2-121233	 8
00 22 58.30	+61 41 11.5	J002258.3+614111	11
00 23 01.40	-33 07 19.5	J002301.4-330719	15
00 23 10.00	+32 29 37.5	J002310.0+322937	20
00 23 11.60	-19 45 56.5	J002311.6-194556	16
00 23 16.10	-14 23 01.0	J002316.1-142301	11
00 23 26.40	+28 20 58.0	J002326.4+282058	12
00 23 28.20	-20 41 51.0	J002328.2-204151	14
00 23 30.00	+15 47 33.0	J002330.0+154733	14
00 23 30.50	-72 20 42.5	J002330.5-722042	11
00 23 32.40	-01 14 37.5	J002332.4-011437	11
00 23 34.90	+20 14 18.5	J002334.9+201418	11
00 23 37.10	+04 42 20.0	J002337.1+044220	 9
00 23 39.60	-17 53 52.0	J002339.6-175352	15
00 23 53.40	-02 51 52.5	J002353.4-025152	 9
00 23 54.00	+60 57 43.5	J002354.0+605743	 7
00 23 55.90	-18 02 54.0	J002355.9-180254	10
00 24 03.60	-17 04 13.5	J002403.6-170413	14
00 24 04.60	-72 04 56.5	J002404.6-720456	 8
00 24 08.20	-68 20 55.5	J002408.2-682055	12
00 24 15.60	+60 34 54.5	J002415.6+603454	 9
00 24 27.70	+05 42 47.0	J002427.7+054247	 8
00 24 29.10	-29 17 34.5	J002429.1-291734	14
00 24 30.50	-29 28 56.5	J002430.5-292856	 8
00 24 33.00	+33 12 37.0	J002433.0+331237	27
00 24 33.70	-20 41 12.0	J002433.7-204112	14
00 24 34.40	-17 10 35.5	J002434.4-171035	12
00 24 35.40	+30 02 20.5	J002435.4+300220	12
00 24 45.30	+08 20 47.0	J002445.3+082047	20
00 24 50.30	+13 56 33.5	J002450.3+135633	12
00 24 53.00	+06 56 52.0	J002453.0+065652	12
00 25 02.70	-45 29 41.0	J002502.7-452941	 9
00 25 04.30	-36 46 23.0	J002504.3-364623	 9
00 25 08.60	+68 48 13.0	J002508.6+684813	11
00 25 08.70	-04 34 56.5	J002508.7-043456	11
00 25 09.20	+64 09 46.0	J002509.2+640946	 7
00 25 10.80	+12 17 25.0	J002510.8+121725	17
00 25 16.30	-20 51 25.0	J002516.3-205125	12
00 25 28.20	-18 48 18.0	J002528.2-184818	 9
00 25 29.70	-28 34 30.0	J002529.7-283430	15
00 25 29.80	-12 22 47.0	J002529.8-122247	22
00 25 32.60	+04 53 51.5	J002532.6+045351	 9
00 25 34.90	-33 02 55.0	J002534.9-330255	11
00 25 42.60	-19 00 09.5	J002542.6-190009	 8
00 25 48.80	+45 01 36.0	J002548.8+450136	 8
00 25 52.20	-09 57 56.5	J002552.2-095756	22
00 25 53.50	+08 37 24.5	J002553.5+083724	16
00 26 05.40	-18 54 56.5	J002605.4-185456	12
00 26 06.80	-15 42 17.5	J002606.8-154217	12
00 26 27.00	-51 38 01.5	J002627.0-513801	16
00 26 30.20	-08 42 23.0	J002630.2-084223	18
00 26 31.40	-18 40 02.5	J002631.4-184002	15
00 26 32.10	-34 25 27.0	J002632.1-342527	12
00 26 36.30	-46 01 01.5	J002636.3-460101	 9
00 26 40.20	-53 09 44.5	J002640.2-530944	12
00 26 48.10	-68 26 20.5	J002648.1-682620	12
00 26 51.20	-01 59 12.5	J002651.2-015912	18
00 27 08.60	-07 52 38.0	J002708.6-075238	10
00 27 09.50	-19 26 16.0	J002709.5-192616	14
00 27 10.60	-11 36 51.5	J002710.6-113651	23
00 27 11.80	-27 09 08.5	J002711.8-270908	16
00 27 18.30	-16 47 08.5	J002718.3-164708	15
00 27 20.70	-50 14 57.0	J002720.7-501457	24
00 27 23.50	-21 33 25.5	J002723.5-213325	23
00 27 24.10	-12 29 28.5	J002724.1-122928	16
00 27 28.90	+26 07 19.0	J002728.9+260719	12
00 27 34.60	+28 42 20.0	J002734.6+284220	16
00 27 43.20	-41 26 12.5	J002743.2-412612	 9
00 27 43.70	-33 03 25.5	J002743.7-330325	11
00 27 50.40	-32 33 17.5	J002750.4-323317	 7
00 27 51.90	+26 16 27.0	J002751.9+261627	20
00 28 06.20	-06 32 08.0	J002806.2-063208	12
00 28 09.80	+18 49 37.5	J002809.8+184937	15
00 28 11.60	+31 03 42.0	J002811.6+310342	 9
00 28 13.50	-32 28 01.5	J002813.5-322801	17
00 28 13.60	-75 37 32.0	J002813.6-753732	19
00 28 15.80	+43 39 09.5	J002815.8+433909	28
00 28 16.20	-35 42 12.0	J002816.2-354212	10
00 28 16.70	+63 43 57.5	J002816.7+634357	 8
00 28 21.40	-20 20 04.0	J002821.4-202004	10
00 28 22.90	-45 51 59.5	J002822.9-455159	15
00 28 24.20	-29 24 14.0	J002824.2-292414	12
00 28 27.30	-29 17 04.0	J002827.3-291704	11
00 28 28.10	-00 27 49.5	J002828.1-002749	11
00 28 34.60	+49 28 35.0	J002834.6+492835	 9
00 28 36.20	-23 38 49.5	J002836.2-233849	23
00 28 45.10	-57 33 05.0	J002845.1-573305	14
00 28 48.20	+59 17 23.0	J002848.2+591723	 7
00 28 49.60	-40 54 24.5	J002849.6-405424	10
00 28 54.10	+50 22 26.0	J002854.1+502226	 9
00 29 02.70	+19 57 17.0	J002902.7+195717	10
00 29 08.80	-22 36 29.0	J002908.8-223629	11
00 29 13.90	+13 16 05.5	J002913.9+131605	 7
00 29 14.70	+41 52 57.5	J002914.7+415257	18
00 29 22.40	+50 51 59.0	J002922.4+505159	19
00 29 32.60	-37 41 33.0	J002932.6-374133	14
00 29 37.90	-31 02 05.0	J002937.9-310205	 9
00 29 41.10	-16 54 08.0	J002941.1-165408	19
00 29 45.90	-15 09 21.0	J002945.9-150921	20
00 29 58.00	-63 25 00.0	J002958.0-632500	 8
00 30 00.70	-20 28 55.5	J003000.7-202855	 9
00 30 02.10	-33 45 46.5	J003002.1-334546	 8
00 30 05.80	-20 05 19.0	J003005.8-200519	20
00 30 07.50	+37 26 01.0	J003007.5+372601	10
00 30 17.90	-53 25 54.5	J003017.9-532554	28
00 30 19.60	-16 47 23.5	J003019.6-164723	16
00 30 22.20	-12 55 03.5	J003022.2-125503	31
00 30 25.80	-48 12 45.5	J003025.8-481245	 7
00 30 26.60	-34 16 27.0	J003026.6-341627	10
00 30 32.30	-62 35 47.5	J003032.3-623547	22
00 30 37.60	-24 10 53.5	J003037.6-241053	23
00 30 41.20	-13 21 30.0	J003041.2-132130	26
00 30 57.50	-65 50 20.5	J003057.5-655020	17
00 30 59.30	-11 53 00.0	J003059.3-115300	16
00 31 06.70	-35 15 32.0	J003106.7-351532	14
00 31 20.60	-23 33 58.5	J003120.6-233358	12
00 31 21.20	+30 15 58.0	J003121.2+301558	14
00 31 30.00	+31 23 52.0	J003130.0+312352	10
00 31 50.40	+36 57 56.0	J003150.4+365756	10
00 32 09.70	+18 08 08.5	J003209.7+180808	10
00 32 10.00	-38 27 28.5	J003210.0-382728	14
00 32 11.00	-32 42 09.5	J003211.0-324209	13
00 32 21.10	+24 23 59.0	J003221.1+242359	13
00 32 24.10	+67 14 06.5	J003224.1+671406	13
00 32 24.50	+06 57 42.0	J003224.5+065742	20
00 32 30.50	-22 42 26.0	J003230.5-224226	18
