#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2007-01-30T20:45:32
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml24157	

#RESOURCE=5050
#Name: V/50
#Title:	Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Table	V_50_catalog:
#Name: V/50/catalog
#Title:	The main part of the Catalogue
#Coosys	J2000_2000.000:	eq_FK5 2000_2000.000
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)
#---List of  values:     	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#HR	RAJ2000	DEJ2000	Vmag	B-V
#	"h:m:s"	"d:m:s"	mag	mag
#----	----------	---------	-----	-----
  23	00 09 02.4	-54 00 07	 6.33	 0.74
  24	00 09 21.0	-27 59 16	 5.42	 0.42
  25	00 09 24.7	-45 44 51	 3.88	 1.03
  26	00 10 02.3	+11 08 44	 5.51	-0.07
  27	00 10 19.3	+46 04 20	 5.03	 0.40
  28	00 10 29.7	+57 09 56	 6.74	-0.08
  29	00 10 18.8	-05 14 55	 5.84	 0.98
  30	00 10 02.1	-82 13 26	 5.28	 1.05
  31	00 10 42.8	-12 34 48	 5.85	 1.01
  32	00 10 38.6	-73 13 28	 6.64	 0.37
  33	00 11 15.9	-15 28 05	 4.89	 0.49
  34	00 11 34.4	-27 47 59	 5.41	 1.34
  35	00 11 44.0	-35 07 59	 5.25	 0.44
  36	00 11 59.1	+48 09 09	 6.16	 1.45
  37	00 12 10.0	-17 56 18	 5.25	 1.48
  38	00 12 50.4	+37 41 36	 6.73	-0.13
  39	00 13 14.2	+15 11 01	 2.83	-0.23
  40	00 13 24.0	+26 59 14	 6.30	 0.65
  41	00 13 30.8	+41 02 07	 5.72	 0.31
  42	00 13 42.1	-26 01 19	 5.94	 1.55
  43	00 13 44.2	-26 17 05	 6.31	 1.48
  44	00 14 02.3	+33 12 22	 6.25	-0.01
  45	00 14 36.2	+20 12 24	 4.80	 1.57
  46	00 14 27.6	-07 46 50	 5.12	 1.62
  47	00 13 19.4	-84 59 39	 5.77	 1.72
  48	00 14 38.4	-18 55 58	 4.44	 1.66
  49	00 14 56.1	+22 17 03	 6.24	-0.01
  50	00 14 58.8	+08 49 15	 5.79	 0.31
  51	00 14 54.5	-09 34 11	 5.75	-0.08
  52	00 15 07.0	+31 32 09	 6.45	
  53	00 15 10.6	+27 16 59	 6.35	-0.02
  54	00 14 58.2	-34 54 16	 6.17	 1.34
  55	00 16 14.0	+76 57 03	 6.35	-0.07
  56	00 16 21.6	+43 35 41	 6.15	 0.05
  57	00 16 08.9	-31 26 47	 5.67	 1.35
  58	00 15 55.2	-75 54 41	 6.49	 1.00
  59	00 16 34.1	+08 14 24	 6.11	 0.92
  60	00 16 57.1	+61 32 00	 5.74	 0.88
  61	00 16 42.5	-20 12 38	 6.47	-0.09
  62	00 17 09.1	+47 56 51	 5.89	-0.09
  63	00 17 05.5	+38 40 54	 4.61	 0.06
  64	00 16 49.0	-78 46 50	 6.77	 0.46
  65	00 17 43.0	+51 25 59	 6.14	-0.13
  66	00 17 32.6	-19 03 04	 6.45	 0.37
  67	00 17 47.7	+01 41 20	 6.17	 0.94
  68	00 18 19.7	+36 47 07	 4.52	 0.05
  69	00 18 17.2	+11 12 21	 6.05	 1.03
  70	00 18 42.1	+43 47 28	 6.11	-0.08
  71	00 18 38.3	+31 31 02	 5.87	-0.01
  72	00 18 41.8	-08 03 10	 6.46	 0.68
  73	00 18 42.6	-43 14 07	 6.33	 1.21
  74	00 19 25.7	-08 49 26	 3.56	 1.22
  75	00 19 41.6	+40 43 47	 6.33	 1.18
  76	00 20 05.2	+48 51 55	 6.52	
  77	00 20 04.3	-64 52 29	 4.23	 0.58
  78	00 20 24.4	+30 56 09	 5.90	-0.10
  79	00 20 45.5	+32 54 41	 5.79	 1.59
  80	00 20 35.9	+08 11 25	 5.37	 1.34
  81	00 20 54.5	+10 58 37	 6.56	
  82	00 21 07.3	+37 58 07	 5.18	 0.42
  83	00 20 39.0	-69 37 30	 5.51	-0.05
  84	00 21 31.2	-28 58 54	 5.18	 1.00
  85	00 21 46.3	-20 03 28	 5.12	 1.82
  86	00 22 25.5	+13 28 57	 6.23	 1.22
  87	00 21 28.6	-77 25 37	 5.97	 1.40
  88	00 22 51.8	-12 12 34	 6.39	 0.66
  89	00 23 12.6	-31 02 10	 6.55	 0.00
  90	00 24 02.0	+38 34 38	 7.39	 1.97
  91	00 24 15.6	+52 01 12	 5.57	-0.12
  92	          	         	     	
  93	00 24 47.5	+61 49 52	 5.40	 0.00
  94	00 24 29.7	-02 13 09	 6.07	 1.22
  95	          	         	     	
  96	00 25 06.4	+53 02 49	 5.74	-0.06
  97	00 25 24.2	+01 56 23	 5.77	 0.86
  98	00 25 45.1	-77 15 15	 2.80	 0.62
  99	00 26 17.0	-42 18 22	 2.39	 1.09
 100	00 26 12.2	-43 40 48	 3.94	 0.17
 101	00 26 37.4	-00 02 59	 6.19	 0.90
 102	00 27 14.7	-25 32 50	 5.98	 1.03
 103	00 28 02.9	+17 53 35	 5.06	 1.65
 104	00 28 13.7	+44 23 40	 5.17	 0.03
 105	00 27 55.7	-33 00 26	 4.81	 1.64
 106	00 28 12.7	+16 26 42	 6.06	 1.58
 107	00 28 20.1	+10 11 23	 6.04	 0.43
 108	00 28 21.1	-20 20 06	 6.43	 0.59
 109	00 28 26.4	-39 54 54	 5.43	 1.56
 110	00 28 56.6	+36 54 00	 6.26	 0.92
 111	00 28 43.1	-50 31 58	 6.26	 1.09
 112	00 30 55.0	+77 01 10	 6.21	 0.84
 113	00 30 19.9	+59 58 38	 5.94	 0.01
 114	00 30 07.3	+29 45 06	 5.23	 0.24
 115	00 29 51.9	-14 51 51	 6.14	 0.37
 116	00 29 48.9	-32 07 00	 6.57	 1.34
 117	00 30 02.4	-03 57 26	 5.72	 1.56
 118	00 30 22.7	-23 47 16	 5.19	 0.12
 119	00 30 27.8	-40 56 22	 6.19	 0.33
 120	00 30 26.1	-48 12 54	 5.69	 0.35
 121	00 31 25.3	+66 31 10	 6.18	-0.10
 122	00 31 25.6	+33 34 54	 5.87	 1.14
 123	00 31 46.4	+54 31 20	 4.73	-0.10
 124	00 31 41.2	+52 50 22	 5.60	 1.15
 125	00 31 25.0	-48 48 13	 4.77	 0.02
 126	00 31 32.7	-62 57 29	 4.37	-0.07
 127	00 31 33.6	-62 57 57	 4.54	 0.15
 128	00 32 26.8	+43 29 41	 6.70	-0.01
 129	00 33 19.3	+70 58 54	 6.42	-0.01
 130	00 33 00.0	+62 55 54	 4.16	 0.14
 131	00 32 35.5	+20 17 40	 5.38	 1.08
 132	00 32 23.8	+06 57 20	 5.67	 0.00
 133	00 32 34.5	+27 34 50	 6.67	
 134	00 32 49.1	+28 16 49	 6.30	 1.00
 135	00 33 10.4	+54 53 42	 5.93	 1.04
 136	00 32 43.8	-63 01 52	 5.09	 0.04
 137	00 34 24.9	+66 45 01	 6.48	-0.08
 138	00 33 41.1	-29 33 30	 5.55	 1.27
 139	00 33 23.3	-71 15 58	 6.13	 0.23
 140	00 34 27.8	-52 22 23	 5.57	 0.47
 141	00 34 55.3	+13 22 16	 6.40	
 142	00 35 14.9	-03 35 34	 5.20	 0.56
 143	00 35 32.8	-00 30 20	 5.93	 0.44
 144	00 36 08.3	+54 10 07	 5.08	-0.11
 145	00 35 54.7	+13 12 24	 6.41	 0.52
 146	00 36 27.3	+60 19 34	 5.79	 0.29
 147	00 35 41.1	-48 00 03	 5.51	 0.44
 148	00 35 33.4	-54 49 19	 6.06	 1.01
 149	00 36 20.0	+27 15 17	 6.50	-0.09
 150	00 36 03.0	-14 58 25	 6.45	 1.06
 151	00 36 06.9	-22 50 33	 6.06	 0.29
 152	00 36 46.6	+44 29 19	 5.13	 1.60
 153	00 36 58.3	+53 53 49	 3.66	-0.20
 154	00 36 52.9	+33 43 10	 4.36	-0.14
 155	00 36 47.3	+15 13 54	 5.89	-0.15
 156	00 37 07.2	+24 00 51	 6.47	
 157	00 37 21.1	+35 23 58	 5.48	 0.88
 158	00 39 47.3	+82 29 38	 6.40	 0.55
 159	00 37 20.7	-24 46 02	 5.57	 0.72
 160	00 36 37.4	-65 07 29	 6.42	 1.26
 161	00 37 30.5	+03 08 07	 6.39	 1.33
 162	00 37 18.1	-54 23 39	 6.41	 1.00
 163	00 38 33.3	+29 18 42	 4.37	 0.87
 164	00 39 09.9	+49 21 16	 5.43	 1.64
 165	00 39 19.7	+30 51 39	 3.27	 1.28
 166	00 39 21.8	+21 15 02	 5.87	 0.85
 167	00 39 55.6	+21 26 18	 5.36	 1.16
 168	00 40 30.5	+56 32 14	 2.23	 1.17
 169	00 38 40.8	-73 08 14	 6.85	 0.11
 170	00 39 57.9	-33 57 42	 6.69	 0.51
 171	00 39 52.0	-44 47 48	 6.01	 1.14
 172	00 40 28.6	-16 31 01	 6.49	 0.92
 173	00 40 32.9	-23 48 16	 6.14	 0.70
 174	00 40 42.4	-04 21 07	 5.91	 1.10
 175	00 41 07.2	+39 27 31	 5.33	 0.89
 176	00 40 26.4	-59 27 16	 5.89	 0.55
 177	00 42 03.4	+66 08 51	 5.83	 1.04
 178	00 41 36.0	+24 37 45	 6.04	 0.26
 179	00 42 03.9	+50 30 45	 4.80	-0.11
 180	00 41 19.6	-46 05 06	 4.59	 0.97
 181	00 42 31.1	+58 45 12	 6.17	-0.01
 182	          	         	     	
 183	00 41 46.4	-56 30 06	 5.70	 0.20
 184	00 43 28.1	+47 01 29	 4.94	 0.18
 185	00 42 42.9	-38 27 48	 6.06	-0.03
 186	00 42 41.8	-60 15 45	 5.98	 1.32
 187	00 42 28.4	-65 28 05	 5.39	 0.50
 188	00 43 35.4	-17 59 12	 2.04	 1.02
 189	00 44 26.4	+47 51 51	 5.67	-0.12
 190	00 43 50.2	-12 00 42	 6.02	 1.10
 191	00 43 21.2	-57 27 47	 4.36	 0.00
 192	00 45 39.0	+74 59 17	 5.66	 0.05
 193	00 44 43.5	+48 17 04	 4.54	-0.07
 194	00 44 11.4	-10 36 34	 4.76	 1.01
 195	00 44 12.1	-38 25 18	 5.90	 1.16
 196	00 45 17.2	+55 13 18	 5.42	 0.04
 197	00 44 44.4	-22 00 22	 5.24	 0.33
 198	00 44 57.1	-42 40 36	 5.94	 0.28
 199	00 44 32.3	-62 29 52	 6.07	 0.44
 200	00 46 39.0	+69 19 30	 6.33	
 201	00 45 24.1	-04 37 45	 6.15	 1.62
 202	00 45 00.0	-53 42 54	 6.15	 0.53
 203	00 45 28.7	-12 52 51	 6.15	 0.61
 204	00 46 15.1	+55 18 19	 6.52	
 205	00 46 10.9	+44 51 41	 6.05	-0.07
 206	00 45 41.7	-16 25 27	 6.47	 0.31
 207	00 46 42.4	+59 34 28	 6.39	 1.09
 208	00 47 46.1	+74 50 51	 5.41	-0.08
 209	00 45 45.6	-47 33 06	 5.80	 0.64
 210	00 46 11.8	-22 31 19	 5.50	 0.98
 211	00 46 33.0	+15 28 32	 5.38	 1.65
 212	00 48 09.1	+72 40 30	 5.87	 1.01
 213	00 47 01.5	+11 58 26	 5.50	 0.97
 214	00 47 13.6	+19 34 44	 6.13	 0.27
 215	00 47 20.3	+24 16 02	 4.06	 1.12
 216	00 47 23.6	+06 44 27	 5.99	 0.94
 217	00 47 54.8	+20 55 31	 6.54	 0.50
 218	00 47 43.3	-18 03 41	 5.70	 1.30
 219	00 49 06.0	+57 48 57	 3.44	 0.57
 220	00 48 01.1	-21 43 21	 5.57	-0.06
 221	00 48 17.4	+07 18 00	 5.93	 1.10
 222	00 48 23.0	+05 16 50	 5.75	 0.88
 223	00 48 50.1	+50 58 06	 4.89	-0.11
 224	00 48 41.0	+07 35 06	 4.43	 1.50
 225	00 48 58.7	+16 56 26	 5.07	 0.51
 226	00 49 48.8	+41 04 44	 4.53	-0.15
 227	00 49 25.6	-13 33 41	 5.59	 1.30
 228	00 49 13.9	-24 08 11	 5.90	 0.95
 229	00 48 56.7	-46 41 52	 6.27	 0.90
 230	00 49 52.8	+27 42 39	 7.00	 0.36
 231	00 49 53.2	+27 42 37	 7.10	
 232	00 49 33.4	-23 21 42	 6.28	 0.13
 233	00 50 43.6	+64 14 51	 5.39	 0.49
 234	00 50 18.3	+45 00 08	 6.15	 0.01
 235	00 50 07.6	-10 38 40	 5.19	 0.50
 236	00 48 35.4	-74 55 24	 5.07	 1.37
 237	00 51 16.4	+61 48 21	 6.07	 1.88
 238	00 50 57.4	+51 30 29	 6.39	 0.28
 239	00 50 03.7	-43 23 41	 6.48	 0.29
 240	00 54 53.1	+83 42 26	 5.62	 0.09
 241	00 51 33.7	+51 34 16	 6.21	
 242	00 50 41.2	-50 59 13	 5.22	 0.36
 243	00 51 18.3	+03 23 06	 6.37	 1.07
 244	00 53 04.1	+61 07 27	 4.82	 0.53
 245	00 51 52.1	-43 42 33	 6.90	 0.35
 246	00 52 53.4	+38 32 55	 6.69	 0.02
 247	00 52 40.6	-24 00 21	 5.46	 1.24
 248	00 53 00.5	-01 08 39	 4.77	 1.57
 249	00 53 28.2	+37 25 05	 6.06	 1.14
 250	00 53 47.6	+52 41 21	 6.27	 0.19
 251	00 53 12.4	-24 46 37	 6.46	 0.44
 252	00 52 24.3	-69 30 16	 6.22	 0.56
 253	00 55 00.1	+58 58 22	 4.83	 1.21
 254	00 54 35.2	+19 11 18	 5.74	-0.01
 255	00 54 17.6	-08 44 27	 6.16	 0.92
 256	00 55 05.2	+48 40 43	 6.27	 1.68
 257	00 53 37.9	-62 52 17	 5.70	 1.56
 258	00 54 58.0	+23 37 42	 5.47	 1.00
 259	00 55 14.7	+24 33 25	 6.20	 1.62
 260	00 56 12.9	+57 59 48	 6.21	 1.37
 261	00 56 55.6	+68 46 34	 6.37	 0.38
 262	00 55 58.5	+27 12 34	 6.09	 0.14
 263	00 55 42.4	-07 20 50	 5.85	 1.52
 264	00 56 42.5	+60 43 00	 2.47	-0.15
 265	00 56 39.8	+59 10 52	 4.63	 0.96
 266	00 56 47.1	+60 21 46	 5.55	-0.07
 267	00 56 01.5	-11 16 00	 5.31	 1.52
 268	00 55 55.5	-27 46 32	 6.10	 1.67
 269	00 56 45.2	+38 29 58	 3.87	 0.13
 270	00 55 00.3	-69 31 37	 5.45	 1.09
 271	00 57 12.4	+23 25 03	 4.42	 0.94
 272	00 57 39.7	+45 50 23	 6.12	 1.02
 273	00 58 31.1	+66 21 08	 5.97	-0.02
 274	00 57 50.2	+28 59 32	 5.42	 1.08
 275	00 58 14.2	+33 57 03	 5.98	 1.00
 276	00 57 54.5	+13 41 45	 6.32	 0.89
 277	00 58 18.9	+21 24 16	 6.37	 0.09
 278	01 00 31.0	+70 58 59	 6.39	 0.13
 279	00 58 43.9	-11 22 48	 5.61	 0.97
 280	00 58 36.4	-29 21 27	 4.31	-0.16
 281	00 58 22.4	-60 41 47	 6.23	 0.10
 282	01 00 03.4	+44 42 40	 6.84	
 283	01 00 03.6	+44 42 48	 6.04	-0.01
 284	00 59 49.7	+06 28 59	 6.11	 1.67
 285	01 08 44.7	+86 15 25	 4.25	 1.21
 286	01 33 50.4	+89 00 56	 6.46	 0.11
 287	01 02 18.4	+51 02 06	 6.47	
 288	01 01 18.3	-38 55 00	 5.59	 1.18
 289	01 03 01.5	+47 22 34	 6.45	 0.25
 290	01 02 54.3	+41 20 42	 5.98	 0.16
 291	01 02 49.1	+31 48 16	 5.50	-0.05
 292	01 03 37.0	+61 04 30	 5.92	 0.49
 293	01 02 26.4	-31 33 07	 5.50	 0.08
 294	01 02 56.6	+07 53 24	 4.28	 0.96
 295	01 02 01.8	-57 00 09	 6.11	 0.94
 296	01 03 02.6	-04 50 12	 5.43	 1.11
 297	01 04 19.6	+61 34 49	 5.84	 0.54
 298	01 04 02.4	+52 30 08	 5.99	 1.47
 299	01 02 49.2	-46 23 51	 5.36	 0.90
 300	01 03 17.6	-29 31 33	 6.29	 0.93
 301	01 03 49.0	+01 22 00	 6.04	 0.27
 302	01 04 46.8	+51 00 36	 6.54	-0.08
 303	01 04 27.6	+29 39 31	 6.19	 0.43
 304	01 02 42.9	-65 27 22	 6.21	 1.64
 305	01 04 36.4	+39 59 28	 6.72	 0.31
 306	01 16 13.5	+87 08 43	 6.25	 1.12
 307	01 04 52.6	+05 39 23	 6.00	 1.51
 308	01 05 05.4	+14 56 46	 5.68	 0.41
 309	01 06 22.8	+62 45 42	 6.54	 0.19
 310	01 05 40.9	+21 28 24	 5.34	-0.03
 311	01 05 41.7	+21 27 55	 5.56	-0.07
 312	01 09 12.3	+80 00 42	 6.29	
 313	01 05 49.2	+04 54 30	 6.35	 0.38
 314	01 05 51.4	+04 54 34	 7.25	 0.49
 315	01 05 36.8	-09 58 45	 6.12	 1.01
 316	01 07 00.2	+56 56 06	 6.43	 1.18
 317	01 06 05.1	-09 50 22	 5.58	 0.01
 318	01 07 09.5	+53 29 54	 6.38	
 319	01 06 33.6	+12 57 22	 6.12	 0.96
 320	01 06 07.7	-23 59 33	 6.14	 1.09
 321	01 08 16.4	+54 55 13	 5.17	 0.69
 322	01 06 05.0	-46 43 07	 3.31	 0.89
 323	01 06 26.5	-35 39 39	 6.61	 0.14
 324	01 08 00.9	+43 56 31	 5.03	 0.11
 325	01 07 13.1	-23 59 47	 6.37	 0.23
 326	01 08 33.3	+58 15 49	 5.79	-0.01
 327	01 08 01.3	+32 00 44	 6.25	 0.40
 328	01 07 57.2	+20 44 21	 5.55	 0.13
 329	01 07 46.2	-09 47 08	 5.82	 0.43
 330	01 08 22.2	+05 38 59	 5.52	 0.34
 331	01 07 47.9	-41 29 13	 5.21	 0.16
 332	01 07 18.7	-61 46 31	 5.37	 0.88
 333	01 12 16.7	+79 40 26	 5.64	 0.01
 334	01 08 35.4	-10 10 56	 3.45	 1.16
 335	01 09 30.2	+47 14 31	 4.25	-0.07
 336	01 10 39.3	+68 46 43	 5.29	-0.02
 337	01 09 43.9	+35 37 14	 2.06	 1.58
 338	01 08 23.1	-55 14 45	 3.92	-0.08
 339	01 09 49.2	+19 39 31	 5.55	 0.69
 340	01 10 18.8	+42 04 53	 5.65	 0.60
 341	01 10 19.4	+25 27 28	 5.80	 1.47
 342	01 11 25.6	+64 12 10	 5.55	-0.07
 343	01 11 06.2	+55 08 59	 4.33	 0.17
 344	01 10 11.5	+15 40 27	 6.06	 1.49
 345	01 11 41.4	+65 01 08	 5.57	-0.09
 346	01 10 12.0	-08 54 22	 6.40	 1.04
 347	01 10 33.6	+02 26 44	 5.95	 1.51
 348	01 11 10.3	+37 43 27	 5.81	-0.10
 349	01 11 06.8	+31 25 29	 5.16	 0.23
 350	01 10 07.4	-57 41 40	 6.41	 0.89
 351	01 11 27.2	+21 02 05	 4.66	 1.03
 352	01 11 39.6	+30 05 23	 4.51	 1.09
 353	01 11 43.5	-02 15 04	 5.94	 1.40
 354	01 13 09.9	+61 42 21	 6.41	 0.01
 355	01 12 34.0	+45 20 16	 6.11	 1.64
 356	01 12 59.5	+30 03 51	 6.19	 1.00
 357	01 16 30.7	+79 54 36	 6.26	 0.42
 358	01 12 23.4	-30 48 08	 6.52	 0.48
 359	01 12 45.4	-37 51 23	 5.92	 0.28
 360	01 13 44.9	+24 35 01	 4.65	 1.04
 361	01 13 43.9	+07 34 31	 5.24	 0.32
 362	01 13 45.3	+07 34 42	 6.30	 0.49
 363	01 14 05.0	+28 31 47	 6.43	 1.70
 364	01 14 07.6	+16 08 01	 5.98	-0.08
 365	01 16 12.1	+71 44 38	 7.83	 0.78
 366	01 14 24.0	-07 55 23	 5.13	 0.46
 367	01 14 42.4	+06 59 43	 6.03	 1.08
 368	01 14 49.2	-00 58 26	 5.70	 0.42
 369	01 16 24.5	+48 04 56	 6.61	-0.05
 370	01 15 11.1	-45 31 53	 4.96	 0.58
 371	01 16 18.8	+33 06 53	 6.02	 1.15
 372	01 17 05.1	+44 54 07	 6.34	
 373	01 16 36.3	-02 30 01	 5.41	 0.90
 374	01 17 24.1	+31 44 41	 6.73	
 375	01 20 19.5	+77 34 14	 6.31	 0.92
 376	01 18 10.2	+47 25 11	 6.25	 1.35
 377	01 15 46.1	-68 52 34	 4.86	 0.47
 378	01 17 48.0	+03 36 52	 5.16	 0.07
 379	01 18 47.0	+37 23 10	 6.46	 0.23
 380	01 17 03.6	-66 23 53	 6.24	 0.05
 381	01 21 59.1	+76 14 20	 6.38	 0.28
 382	01 20 04.9	+58 13 54	 4.98	 0.68
 383	01 19 28.0	+27 15 51	 4.76	 0.03
 384	01 21 05.2	+64 39 30	 6.34	 0.09
 385	01 19 48.3	-00 30 32	 5.87	 0.64
 386	01 23 46.8	+78 43 33	 6.07	 0.39
 387	01 20 34.5	-03 14 49	 6.23	 1.02
 388	01 20 27.8	-11 14 20	 6.15	 1.11
 389	01 21 07.4	+28 44 17	 5.23	 1.39
 390	01 22 20.4	+45 31 44	 4.88	 1.08
 391	01 23 21.6	+58 08 35	 6.45	
 392	01 22 37.0	+01 43 35	 6.20	 1.52
 393	01 22 34.8	-00 26 59	 6.49	 1.08
 394	01 22 30.5	-19 04 53	 6.35	 0.48
 395	01 23 40.6	+37 42 54	 5.58	 0.26
 396	01 23 37.5	+34 14 45	 6.29	 0.83
 397	01 23 24.9	+20 28 08	 5.97	 1.71
 398	01 25 46.5	+70 58 48	 6.49	
 399	01 25 56.0	+68 07 48	 4.74	 1.05
 400	01 23 31.0	-30 56 44	 5.84	 1.61
 401	01 24 02.5	-08 00 27	 6.21	 0.23
 402	01 24 01.4	-08 11 00	 3.60	 1.06
 403	01 25 49.0	+60 14 07	 2.68	 0.13
 404	01 24 20.6	-06 54 53	 5.91	 0.41
 405	01 24 39.8	-15 39 37	 6.14	 0.91
 406	01 24 48.7	-02 50 55	 6.15	 0.96
 407	01 25 35.7	+23 30 42	 6.18	 0.43
 408	01 24 40.8	-41 29 33	 5.42	 1.04
 409	01 26 18.6	+43 27 28	 5.96	 0.49
 410	01 26 08.7	+34 34 47	 6.31	 0.47
 411	01 24 41.9	-44 31 42	 6.26	 1.14
 412	01 25 37.2	-14 35 56	 4.90	 1.23
 413	01 26 15.3	+19 10 20	 5.38	 0.39
 414	01 26 41.7	+19 14 25	 5.50	 1.11
 415	01 27 06.2	+34 22 39	 6.27	 0.46
 416	01 26 27.3	-00 23 55	 6.41	 1.24
 417	01 27 39.4	+45 24 24	 4.83	 0.42
 418	01 27 26.6	+41 06 02	 6.46	 0.27
 419	01 26 53.5	+03 32 07	 6.58	-0.04
 420	01 25 05.3	-64 22 10	 5.93	 1.56
 421	01 26 51.6	-13 03 24	 5.66	 0.35
 422	01 27 47.0	+40 20 08	 6.60	-0.04
 423	01 26 58.1	-32 32 35	 5.79	 3.86
 424	02 31 48.7	+89 15 51	 2.02	 0.60
 425	01 27 46.6	-10 54 06	 6.13	 1.32
 426	01 28 22.9	+07 57 41	 6.20	 1.12
 427	01 31 13.8	+70 15 53	 5.81	 0.47
 428	01 30 52.3	+66 05 53	 6.14	 0.08
 429	01 28 21.9	-43 19 06	 3.41	 1.57
 430	01 30 06.2	+47 00 26	 5.27	 1.00
 431	01 28 43.3	-33 45 49	 6.58	 0.30
 432	01 29 52.9	+18 21 20	 6.02	 0.14
 433	01 29 36.1	-21 37 46	 5.12	 0.02
 434	01 30 11.1	+06 08 38	 4.84	 1.37
 435	01 29 30.4	-46 45 23	 6.31	 1.66
 436	01 30 22.9	-26 12 28	 5.93	 1.34
 437	01 31 29.0	+15 20 45	 3.62	 0.97
 438	01 32 07.6	+34 48 00	 6.39	-0.12
 439	01 33 25.8	+58 19 39	 5.70	 1.52
 440	01 31 15.1	-49 04 22	 3.95	 0.99
 441	01 31 43.3	-30 17 00	 5.82	 1.08
 442	01 33 55.9	+59 13 55	 4.71	 1.00
 443	01 31 39.1	-45 34 32	 6.17	 0.06
 444	01 33 03.5	-09 00 53	 6.59	-0.04
 445	01 32 56.0	-36 51 55	 5.51	 1.02
 446	01 34 16.6	+37 14 14	 5.88	-0.07
 447	01 32 36.3	-49 43 40	 6.28	 0.46
 448	01 33 42.9	-07 01 31	 5.76	 0.64
 449	01 37 22.5	+74 18 03	 6.58	 0.03
 450	01 34 49.1	+18 27 38	 5.89	 1.52
 451	01 34 37.8	-15 40 34	 5.63	 0.07
 452	01 35 52.5	+41 04 35	 6.38	 1.11
 453	01 34 50.7	-31 53 32	 6.12	 1.11
 454	01 36 27.2	+48 43 22	 5.92	 1.21
 455	01 35 46.4	+14 39 41	 6.22	-0.04
 456	01 38 30.9	+73 02 24	 5.28	 0.96
 457	01 35 54.8	+17 26 01	 5.80	
 458	01 36 47.8	+41 24 20	 4.09	 0.54
 459	01 35 59.0	-15 24 01	 5.42	 1.21
